Thu Aug 25 05:40:04 +0000 2016,768684345678782464,768684345678782464,,,,,in,0,"<a href=""http://objectpost.int"" rel=""nofollow"">objectpost</a>",efad893300pD6BF,False,Wed Feb 24 00:36:14 +0000 2016,0,27,,0,702290904460169216,702290904460169216,en,,object82,51032,-25200,9.427852,0.142985,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 06:14:18 +0000 2016,768692963673247744,768692963673247744,,,,,fr,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Intégrité, honnêteté sont des synonymes de probité.. https://t.co/Q483K0zUM3",False,Tue May 01 12:41:13 +0000 2012,13233,1141,,293,568168208,568168208,en,Gotham City #241,Le__Deanos,61058,3600,,,GA,"Ogooué-Maritime, Gabon",015df86356bd67c8,Ogooué-Maritime,admin,-2.780802,8.699984,-0.273386,8.699984,-0.273386,10.577465,-2.780802,-2.780802,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 07:13:27 +0000 2016,768707846468988928,768707846468988928,,,,,fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Au #Gabon, ""des élections présidentielles ni libres, ni justes"" https://t.co/bWTwk6EzRB https://t.co/iCFa4xNXKI",False,Mon Aug 15 17:04:35 +0000 2011,547,3555,,466,355626540,355626540,fr,GABON,ysickout,33264,3600,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,Gabon,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 07:16:58 +0000 2016,768708733396512768,768708733396512768,,,,,fr,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Celui qui n'a pas peur n'a pas de courage 🔥,False,Sat Feb 12 00:30:05 +0000 2011,6849,873,,199,250880366,250880366,fr,Libreville - Paris,MonGabonais_,52712,7200,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 07:35:09 +0000 2016,768713308845252608,768713308845252608,768710775913545728,768710775913545728,8460572,8460572,fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LePoint Mais non, ils se maintiennent et se reproduisent au gabon",False,Sat Oct 05 17:13:53 +0000 2013,130,80,,189,1938313861,1938313861,fr,,Zan1704,692,3600,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,8460572,,,,,,,,,
Thu Aug 25 07:46:48 +0000 2016,768716241590685696,768716241590685696,,,,,fr,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bonjour à tout le monde entier , sauf aux femmes qui ont trop les foutaises 🤗",False,Sat Feb 12 00:30:05 +0000 2011,6849,873,,199,250880366,250880366,fr,Libreville - Paris,MonGabonais_,52713,7200,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 07:58:00 +0000 2016,768719061307928576,768719061307928576,,,,,pt,0,"<a href=""https://twitter.com/googuns_lulz"" rel=""nofollow"">GooGuns Lulz</a>",4052ff74a3515ef8d9cd157e0594aca96a76c3213cb208c049ebf519419812ccc9b7b244f786b569cd24ff701abe5601857ed24109d5c4180239b3cfbb4e019d0d6ee0000000,False,Sat Feb 21 03:26:23 +0000 2015,0,172,,1,3048544857,3048544857,en,(here),googuns_lulz,1187048,,11.94575493,1.29211179,GA,"Woleu-Ntem, Gabon",01806e7534918bc7,Woleu-Ntem,admin,0.217907,10.355956,2.319215,10.355956,2.319215,13.305169,0.217907,0.217907,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 07:58:15 +0000 2016,768719120938496000,768719120938496000,768676547578310656,768676547578310656,2277261541,2277261541,tl,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Le_Psychopath @nazirgamoss Wahaaaaaa 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,False,Fri Jun 01 04:36:10 +0000 2012,3061,2170,,237,596200722,596200722,fr,Au Fond Du Wouri,UnGabOnais_Sawa,89385,7200,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,2277261541,2299755986,,,,,,,,
Thu Aug 25 07:58:51 +0000 2016,768719271392342016,768719271392342016,768706403947143168,768706403947143168,560542944,560542944,fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@mays_kinga @EtienneMassardpas surpris pr l'arrogance k confère les accumulations ss cause &amp; le chef démontre ainsi la corruption du régime,False,Sat Oct 05 17:13:53 +0000 2013,130,80,,189,1938313861,1938313861,fr,,Zan1704,693,3600,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,-0.573373,9.301286,1.068301,9.301286,1.068301,10.973309,-0.573373,-0.573373,,,,,,,,,,,,,,,,560542944,,,,,,,,,
Thu Aug 25 08:09:54 +0000 2016,768722054640177152,768722054640177152,,,,,fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",L'horoscope m'enjaille trop quoi 😂😂,False,Sun Jan 03 04:33:41 +0000 2016,9643,711,,293,4700545813,4700545813,fr,"33,000 Feet",Valouz,19829,,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,33.516577,130.346764,33.580135,130.346764,33.580135,130.387392,33.516577,33.516577,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Aug 25 08:12:58 +0000 2016,768722825297485824,768722825297485824,768722533935902721,768722533935902721,400745577,400745577,fr,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@JNZENZE j'avoue que c'est l'image que j'ai un peu de toi.. de ce que je perçois ici😊,False,Sun Jan 03 04:33:41 +0000 2016,9643,711,,293,4700545813,4700545813,fr,"33,000 Feet",Valouz,19831,,,,GA,"Estuaire, Gabon",00c8f6113f7e9a2b,Estuaire,admin,43.645292,7.18209,43.76075,7.18209,43.76075,7.323955,43.645292,43.645292,,,,,,,,,,,,,,,,400745577,,,,,,,,,
